"","qname","group_x","group_n","group","group_levels","description","main","sub"
"177","BCrace_1","X",7,"BCrace","Selected Choice - Asian/Pacific Islander","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply) - Selected Choice - Asian/Pacific Islander","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply)","Selected Choice - Asian/Pacific Islander"
"178","BCrace_2","X",7,"BCrace","Selected Choice - Black/African American","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply) - Selected Choice - Black/African American","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply)","Selected Choice - Black/African American"
"179","BCrace_3","X",7,"BCrace","Selected Choice - Latinx/Hispanic","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply) - Selected Choice - Latinx/Hispanic","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply)","Selected Choice - Latinx/Hispanic"
"180","BCrace_4","X",7,"BCrace","Selected Choice - Native American/American Indian","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply) - Selected Choice - Native American/American Indian","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply)","Selected Choice - Native American/American Indian"
"181","BCrace_5","X",7,"BCrace","Selected Choice - White","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply) - Selected Choice - White","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply)","Selected Choice - White"
"182","BCrace_7","X",7,"BCrace","Selected Choice - Other (please specify):","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply) - Selected Choice - Other (please specify):","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply)","Selected Choice - Other (please specify):"
"183","BCrace_7_TEXT","X",7,"BCrace","Other (please specify): - Text","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply) - Other (please specify): - Text","15.c. Which of the following best describes the race/ethnicity for your organization’s current Board Chair? (Select all that apply)","Other (please specify): - Text"
"184","BCgender_1","X",6,"BCgender","Selected Choice - Male","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply) - Selected Choice - Male","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply)","Selected Choice - Male"
"185","BCgender_2","X",6,"BCgender","Selected Choice - Female","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply) - Selected Choice - Female","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply)","Selected Choice - Female"
"186","BCgender_3","X",6,"BCgender","Selected Choice - Trans","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply) - Selected Choice - Trans","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply)","Selected Choice - Trans"
"187","BCgender_4","X",6,"BCgender","Selected Choice - Gender non-conforming/Non-Binary","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply) - Selected Choice - Gender non-conforming/Non-Binary","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply)","Selected Choice - Gender non-conforming/Non-Binary"
"188","BCgender_5","X",6,"BCgender","Selected Choice - Other (please specify):","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply) - Selected Choice - Other (please specify):","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply)","Selected Choice - Other (please specify):"
"189","BCgender_5_TEXT","X",6,"BCgender","Other (please specify): - Text","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply) - Other (please specify): - Text","15.d. Which of the following best describes the gender identity for your organization’s current Board Chair? (Select all that apply)","Other (please specify): - Text"
"190","ExternalAffairs_1","X",13,"ExternalAffairs","Educate the general public about a specific policy issue and/or the interests of certain groups","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Educate the general public about a specific policy issue and/or the interests of certain groups","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Educate the general public about a specific policy issue and/or the interests of certain groups"
"191","ExternalAffairs_2","X",13,"ExternalAffairs","Conduct and publicize research to the media, the public, or policymakers","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Conduct and publicize research to the media, the public, or policymakers","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Conduct and publicize research to the media, the public, or policymakers"
"192","ExternalAffairs_3","X",13,"ExternalAffairs","Work with other organizations to  conduct advocacy and/or public education activities","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Work with other organizations to  conduct advocacy and/or public education activities","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Work with other organizations to  conduct advocacy and/or public education activities"
"193","ExternalAffairs_4","X",13,"ExternalAffairs","Develop relationships with government officials (e.g., meet with officials about your organization’s work, interact socially with officials, work together in a planning or advisory group, etc.)","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Develop relationships with government officials (e.g., meet with officials about your organization’s work, interact socially with officials, work together in a planning or advisory group, etc.)","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Develop relationships with government officials (e.g., meet with officials about your organization’s work, interact socially with officials, work together in a planning or advisory group, etc.)"
"194","ExternalAffairs_5","X",13,"ExternalAffairs","Discuss obtaining grants or contracts with government officials","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Discuss obtaining grants or contracts with government officials","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Discuss obtaining grants or contracts with government officials"
"195","ExternalAffairs_6","X",13,"ExternalAffairs","Respond to requests for information from those in government","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Respond to requests for information from those in government","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Respond to requests for information from those in government"
"196","ExternalAffairs_7","X",13,"ExternalAffairs","Testify at legislative or administrative hearings, or help draft legislation or regulations","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Testify at legislative or administrative hearings, or help draft legislation or regulations","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Testify at legislative or administrative hearings, or help draft legislation or regulations"
"197","ExternalAffairs_8","X",13,"ExternalAffairs","Lobby policy-makers on behalf of or against a proposed bill, regulation, or other policy pronouncement","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Lobby policy-makers on behalf of or against a proposed bill, regulation, or other policy pronouncement","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Lobby policy-makers on behalf of or against a proposed bill, regulation, or other policy pronouncement"
"198","ExternalAffairs_9","X",13,"ExternalAffairs","Organize marches, rallies, protests, boycotts or demonstrations","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Organize marches, rallies, protests, boycotts or demonstrations","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Organize marches, rallies, protests, boycotts or demonstrations"
"199","ExternalAffairs_10","X",13,"ExternalAffairs","Mobilize people to participate in marches, rallies, protests, boycotts, or demonstrations","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Mobilize people to participate in marches, rallies, protests, boycotts, or demonstrations","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Mobilize people to participate in marches, rallies, protests, boycotts, or demonstrations"
"200","ExternalAffairs_11","X",13,"ExternalAffairs","Encourage members or participants to write, call, fax, email, or use social media to influence policymakers or local media","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Encourage members or participants to write, call, fax, email, or use social media to influence policymakers or local media","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Encourage members or participants to write, call, fax, email, or use social media to influence policymakers or local media"
"201","ExternalAffairs_12","X",13,"ExternalAffairs","Conduct nonpartisan  voter registration and Get-out-the-Vote work (e.g. election reminders, registration drives)","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Conduct nonpartisan  voter registration and Get-out-the-Vote work (e.g. election reminders, registration drives)","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Conduct nonpartisan  voter registration and Get-out-the-Vote work (e.g. election reminders, registration drives)"
"202","ExternalAffairs_13","X",13,"ExternalAffairs","Conduct nonpartisan  voter education work (e.g. candidate guides, candidate forums, sample ballots)","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level). - Conduct nonpartisan  voter education work (e.g. candidate guides, candidate forums, sample ballots)","EXTERNAL AFFAIRS     16. During the last two years (2020-2021), how often did your organization conduct the following activities? (Including at the local, county, state, or federal level).","Conduct nonpartisan  voter education work (e.g. candidate guides, candidate forums, sample ballots)"
"203","Q114","",1,"Q114",NA,"17. (optional) All things considered, what are you most concerned about for your organization this year?","17. (optional) All things considered, what are you most concerned about for your organization this year?",""
"204","Drawing","",1,"Drawing",NA,"By submitting below, your organization will be entered into a raffle for a $1,000 donation, in which one organization will be randomly selected in July, 2022. If you would like to opt out of the raffle, you may click ""opt out"" below before submitting, or you may choose to opt out through email to npsurvey@urban.org. If your organization is selected in the drawing, the survey team will contact you through email or phone in July, 2022.","By submitting below, your organization will be entered into a raffle for a $1,000 donation, in which one organization will be randomly selected in July, 2022. If you would like to opt out of the raffle, you may click ""opt out"" below before submitting, or you may choose to opt out through email to npsurvey@urban.org. If your organization is selected in the drawing, the survey team will contact you through email or phone in July, 2022.",""
"205","ContactInfoUpdate_1","X",3,"ContactInfoUpdate","Name","If you would like to update your contact information, please provide the following information for your organization's best point of contact. - Name","If you would like to update your contact information, please provide the following information for your organization's best point of contact.","Name"
"206","ContactInfoUpdate_2","X",3,"ContactInfoUpdate","Job title or position at the organization","If you would like to update your contact information, please provide the following information for your organization's best point of contact. - Job title or position at the organization","If you would like to update your contact information, please provide the following information for your organization's best point of contact.","Job title or position at the organization"
"207","ContactInfoUpdate_3","X",3,"ContactInfoUpdate","Preferred email","If you would like to update your contact information, please provide the following information for your organization's best point of contact. - Preferred email","If you would like to update your contact information, please provide the following information for your organization's best point of contact.","Preferred email"
"208","Comments","",1,"Comments",NA,"Is there anything else you would like to add that we did not cover in the survey? Please add any additional information or comments about the survey itself below (optional)","Is there anything else you would like to add that we did not cover in the survey? Please add any additional information or comments about the survey itself below (optional)",""
"209","address","",1,"address",NA,"address","address",""
"210","batch","",1,"batch",NA,"batch","batch",""
"211","Category","",1,"Category",NA,"Category","Category",""
"212","city","",1,"city",NA,"city","city",""
"213","Description","",1,"Description",NA,"Description","Description",""
"214","Group","",1,"Group",NA,"Group","Group",""
"215","NTEE","",1,"NTEE",NA,"NTEE","NTEE",""
"216","random","",1,"random",NA,"random","random",""
"217","state","",1,"state",NA,"state","state",""
"218","Status...218","",1,"Status...218",NA,"Status","Status",""
"219","TimeZone (11=estnoth, 12=estsouth, 21=cstnorth, 22=cstsouth,3=mst, 4=pst and otrs)","",1,"TimeZone (11=estnoth, 12=estsouth, 21=cstnorth, 22=cstsouth,3=mst, 4=pst and otrs)",NA,"TimeZone (11=estnoth, 12=estsouth, 21=cstnorth, 22=cstsouth,3=mst, 4=pst and otrs)","TimeZone (11=estnoth, 12=estsouth, 21=cstnorth, 22=cstsouth,3=mst, 4=pst and otrs)",""
"220","zip5","",1,"zip5",NA,"zip5","zip5",""
"221","zipcode","",1,"zipcode",NA,"zipcode","zipcode",""
"222","EIN","",1,"EIN",NA,"EIN","EIN",""
"223","FirstName_Y2_Updated","",1,"FirstName",NA,"FirstName_Y2_Updated","FirstName_Y2_Updated",""
"224","LastName_Y2_Updated","",1,"LastName",NA,"LastName_Y2_Updated","LastName_Y2_Updated",""
"225","Title_Y2_Updated","",1,"Title",NA,"Title_Y2_Updated","Title_Y2_Updated",""
